Gene	rank_allele_count	rank_gnomAD_allele_count_iCFadjust	rank_P_rvexcaliber_base_iCFadjust
UCP2	38	17.0227177514662	0.000319475135982072
TTC37	91	58.8949201548357	0.000346126983570727
PER2	37	16.9267839168507	0.000465712299468901
SPG20	53	29.8230371727944	0.000687922879382241
KIF20A	49	27.1243819522147	0.000848432682828415
FLII	82	54.4965616339417	0.00111152718467278
LRP1	159	120.703574346743	0.00125595530132649
LIPI	40	20.5609612343114	0.0013076004976621
DYNC2LI1	25	10.7429354505679	0.00213816629728802
ZNF283	15	4.30370666308536	0.00284477447077347
TTLL1	26	12.0669543927145	0.00308516478525522
ALPI	55	34.8863827974111	0.00320572797053176
HOXA6	31	15.923435351478	0.00331433673395265
PDCD11	53	33.3525496976519	0.003363516915461
CLIP2	24	10.3300932886136	0.00361800038049997
FAM13A	36	19.6691030569416	0.0039394908512087
SIRT2	23	10.3353166184341	0.00407717221457804
NEIL1	29	14.4582660411321	0.00441843053832025
GCFC2	14	4.27245798306334	0.00462592980531806
AXIN1	58	38.46263249791	0.00496616908508218
RAB3B	23	10.6862085929841	0.00504806613155095
CLK1	26	13.0565912371035	0.00548230348829426
PCDH1	24	11.6127372360132	0.00564016054414496
KRT17	60	40.2231066504744	0.0057914336527326
KCNG4	45	27.7647306955969	0.00580098170840093
C9orf135	11	2.64821098303618	0.00586112873190092
TANC1	100	74.5403657384851	0.00589560982532356
ANO1	26	13.2229040968625	0.00601936654728841
SPHKAP	42	25.853511774762	0.00620670167470394
AGTPBP1	16	6.03877598584698	0.00631808603789263
PPP1R27	20	8.92457924586967	0.00655453374196135
DAGLB	45	28.0850129503154	0.00662780858929712
MAPK13	29	15.7000069868438	0.00662944071930383
PLEKHN1	27	13.7448443874005	0.0068223248906677
KREMEN1	30	16.5505462249582	0.0069068709851019
MYO16	77	55.6546978534077	0.0071342228005965
ALKBH1	24	12.0208918181291	0.00714272560520057
FYCO1	70	49.0513436256132	0.00716661889169667
ABCB11	102	76.5388152854701	0.007191833729429
MUC17	51	33.7228559100882	0.007522413075708
PHLDB1	57	38.4375393695961	0.00758636192173257
CPXM2	79	57.4086852528922	0.00789145034373606
CAPN15	37	22.3690357435936	0.007909350894304
MYH10	77	54.8982458704923	0.00795013917643117
CTSH	13	4.31788020657428	0.00796487091559883
ZNF556	14	4.99502575385326	0.00797993078215931
TUBAL3	49	32.2086350601344	0.00798736023852309
GNPTAB	78	56.6294781937745	0.00804998849396077
PKM	42	26.548539352188	0.00837208142229673
DMRT2	19	8.59707789789665	0.00841693225426821
SUPT16H	12	3.74245480070836	0.00851810793378349
GCNT2	50	32.9042050301061	0.00861588978197536
CASP10	33	19.3623905796822	0.00863424133387025
PAPPA	56	37.9783751516307	0.00871045097941769
FREM1	59	40.8331158582214	0.00873172009584955
TMOD2	26	13.9348685519427	0.00885694892952238
CEP164	38	23.4288557543415	0.00885858004886009
TNRC6B	23	11.6836757828157	0.00903196420822927
MANEAL	23	11.6998329790101	0.00913385582360482
HELQ	41	25.6184490686544	0.00930496742568188
LMNA	31	17.9753324673317	0.0095150456496067
PROSER1	31	18.0130932797121	0.00968403075849145
NOXRED1	19	8.8328544795415	0.00973893764748657
CD19	18	8.11609982730462	0.00981302269822826
C14orf159	21	10.3386835731683	0.00989934251471292
QPCTL	23	11.8738979574842	0.0100522928626261
CDH16	63	44.6868576542274	0.0101878393286601
GNB3	23	11.916807204331	0.0102870026125212
PDE6B	77	56.818986578234	0.0102996607887333
ATRIP	29	16.5613284479847	0.010306922105106
TCTN2	58	40.2069297376626	0.0105166158711699
ADCYAP1R1	22	11.1988510417232	0.0105175784440733
PROX2	24	12.2747350761062	0.0106222405376174
SMG6	30	17.4180676995922	0.0106446552413133
NOP14	49	32.6839504182381	0.010918451394293
ANKH	38	23.9353443522254	0.0110370590800154
TTC8	34	20.6908645507323	0.0110467392682215
CLPB	40	25.5868698760508	0.0111051288367733
MGA	111	86.9326652114714	0.0111291520792277
MAML1	21	10.5473042586358	0.01113343223714
GGPS1	13	4.77088672941996	0.0111675277187151
OCA2	75	55.3889557623629	0.0112940700411863
FAM151B	12	4.10938876795148	0.0113024252118763
GPR161	36	22.3722704011499	0.0113925900029236
CIDEA	26	14.414853756332	0.0113928309959416
QTRT2	18	8.35625764869595	0.0114094753310007
SLC28A1	35	21.6264276334609	0.0117035745382962
ECHDC1	25	13.2660134086465	0.011841787342288
ESAM	22	11.4167102408117	0.0118833951052765
ABCB10	42	27.4130715653256	0.0119225862675891
ATP5S	15	6.26182514605262	0.011940139400923
GPATCH2L	14	5.56908715620046	0.0120446195057007
ALOX5AP	12	4.20720349625323	0.0121755631546014
KLK3	28	16.1241218885417	0.0122404660944713
AAR2	22	11.4718273901644	0.0122688245066911
LHB	20	9.47927530556487	0.0123422435194196
FST	8	1.66553152875634	0.0125167063834565
PTPRR	23	11.8230272734384	0.0125675284933882
SCN7A	66	47.9359074492523	0.0126728539048861
TRIM68	34	21.0504350310076	0.0129427099680722
SIX4	45	29.8006440964301	0.013010163502653
CYP2R1	38	24.3449154687134	0.0130861871716119
TMEM25	31	18.6642622498309	0.0131396981280739
PLEKHA7	41	26.8256306316043	0.0131527259452719
DNAH10	155	127.739493649146	0.0132541638058019
APMAP	26	14.7235459670326	0.0133526712181727
ECD	24	13.2012601417084	0.0136093509771894
WWP2	48	32.7896622386222	0.0137338879403096
DLX5	39	24.9493811441919	0.0138603641827761
ASNSD1	32	19.5952115299774	0.013934847050536
BBS2	79	59.6148316430608	0.0140400352843851
SSX2IP	17	7.96212515722834	0.0140646995448729
USP19	35	22.0496759280052	0.0140651419738379
CYP2C9	21	10.9761889004611	0.0142191745069223
ZNF721	22	11.7476978877414	0.0142781355184665
SLC22A12	73	54.4498152009954	0.0143788191234743
TAF9	11	3.75418408153941	0.0143841277001842
MYO3B	97	75.2130726296708	0.0144192080498822
KIAA1456	19	9.50132478632449	0.0145446930941436
ABCB6	60	43.2388676248295	0.0148113053784412
ZNF124	13	5.18025730521181	0.0149661252490245
MYL4	23	12.6228311515951	0.0150745441572365
SACS	261	225.858485926642	0.0150786617208565
DTNB	21	11.1014583209186	0.0152313669813684
MARK3	28	16.5917802603128	0.0153484848908048
HIST1H2BF	10	3.1736717239062	0.0153798376296759
SLC9A4	33	20.2759458007411	0.0154825445980983
NECAB2	41	26.9105431564805	0.0155472889847318
CCDC51	21	11.137194642297	0.0155491808631365
POP1	44	29.4573577634898	0.0157249082548969
CCDC80	33	20.676731277585	0.0157314150719424
ITGAL	50	34.8711045743299	0.015789156839037
SOX30	34	21.5024833835071	0.0158201844044337
PLEC	92	71.6054009449095	0.0160119102215989
SEC22C	10	3.23414529189893	0.0161236975986396
VPS18	32	19.9259437498186	0.0161424630261768
DDX47	27	15.9127344640569	0.0162423342273268
DNAH17	188	158.673847538707	0.0166483684360397
CACNG1	37	24.1194880770917	0.016832904008995
